DistrictCode,StateName,DistrictName,Population,Male,Female,Literate,LiterateMale,LiterateFemale,Worker,WorkerMale,WorkerFemale,MainWorker,MarginWorker,NonWorker,CultivatorWorker,AgriculturalWorker,HouseholdWorker,OtherWorkers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,OthersReligion,ReligionNotStated,LPGoPNGHousehold,HousholdsWithElectricLighting,HouseholdsWithInternet,HouseholdsWithComputer,Household,RuralHousehold,UrbanHousehold,BelowPrimaryEducation,PrimaryEducation,MiddleEducation,SecondaryEducation,HigherEducation,GraduateEducation,OtherEducation,Literate,Illiterate,AgeGroup0_29,AgeGroup30_49,AgeGroup_50,AgeNotStated,HouseholdWithBicycle,HouseholdWith4Wheeler,HouseholdWith2Wheeler,OwnedHousehold,RentedHousehold
15,JAMMU AND KASHMIR,Kulgam,424483,217620,,209085,125052,,159990,102317,57673,77812,82178,264493,69173,29928,6193,54696,4267,418076,460,1035,27,25,9,584,4301,47913,838,3542,121130,95952,25178,36066,47268,60470,45383,24214,18240,3190,234831,175199,266858,99870,57253,502,1853,2421,3318,68472,405
16,JAMMU AND KASHMIR,Doda,409936,213641,196295,219083,138620,80463,151912,101144,50768,79377,72535,258024,69947,12199,1932,67834,187621,220614,472,422,21,22,42,722,7963,61831,596,3077,133617,122267,11350,43794,47350,62719,48359,31416,12647,1846,248131,163565,263576,93189,52744,427,563,1804,1550,76189,1997
17,JAMMU AND KASHMIR,Ramban,283713,149132,134581,124065,82938,41127,87212,68476,18736,52051,35161,196501,41394,8810,2538,34470,81026,200516,414,753,43,3,252,706,3982,34243,417,2644,89622,84281,5341,33971,35284,35115,22591,13331,4923,1498,146713,141812,188526,61604,33220,363,214,958,612,53377,455
18,JAMMU AND KASHMIR,Kishtwar,230696,120165,110531,107506,68700,38806,82974,56779,26195,44718,38256,147722,39271,16296,1186,26221,93931,133225,277,450,2094,3,514,202,4118,24067,274,1651,78371,72378,5993,25022,25675,27745,19550,14521,5438,2529,120480,101166,145931,53415,31084,266,439,850,1533,43840,463
19,JAMMU AND KASHMIR,Udhampur,554985,296784,258201,322354,197543,124811,243672,163845,79827,152442,91230,311313,113020,11396,2641,116615,489044,59771,1962,3418,106,57,235,392,20008,73999,1214,5744,183360,148664,34696,58567,80129,86008,55024,29657,17345,4030,330760,194838,339145,140785,74757,298,3948,3800,8953,90329,2544
20,JAMMU AND KASHMIR,Reasi,314667,166461,148206,150542,93937,56605,144767,88755,56012,88462,56305,169900,96147,4009,534,44077,153898,156275,1208,3107,15,7,3,154,6552,31588,602,2849,107833,95572,12261,33411,40215,36184,24066,14064,4733,575,153248,143293,203967,70767,39743,190,1340,1878,3551,52218,1415
21,JAMMU AND KASHMIR,Jammu,1529958,813821,716137,1137135,641916,495219,508622,417456,91166,410344,98278,1021336,68613,36873,10589,392547,1289240,107489,12104,114272,470,1987,321,4075,197168,294739,19905,46657,502609,254566,248043,135391,185962,253542,261852,159257,146501,30616,1173121,268279,816827,435895,275585,1651,68272,44063,113156,274859,18255
22,JAMMU AND KASHMIR,Samba,318898,169124,149774,228139,130312,97827,92526,81952,10574,74129,18397,226372,16894,6105,1520,68007,275311,22950,2306,17961,48,16,6,300,34063,61159,992,4465,114236,94247,19989,29138,41233,59931,61407,30503,14055,2600,238867,65643,177277,88246,53022,353,13653,4093,17664,60716,1646
23,HIMACHAL PRADESH,Chamba,519080,261320,257760,323842,186064,137778,294035,158791,135244,119632,174403,225045,196665,9193,4521,83656,479782,32455,1559,2745,1740,57,14,728,21458,96082,1615,5117,200231,186395,13836,56272,96789,67653,64515,40440,15506,3252,344427,154575,306555,130606,81566,353,1657,5074,8880,94367,6546
24,HIMACHAL PRADESH,Kangra,1510075,750591,759484,1152640,606443,546197,675170,403756,271414,313915,361255,834905,303007,54849,15662,301652,1461140,19797,3023,8929,14511,194,208,2273,148361,330081,8053,22753,627328,588321,39007,127699,243617,223099,284124,192936,91236,13577,1176288,271892,766581,419172,319420,4902,38456,22727,69192,314828,16832
25,HIMACHAL PRADESH,Lahul AND Spiti,31564,16588,14976,21845,12897,8948,19295,10763,8532,15190,4105,12269,11227,572,167,7329,11649,74,212,35,19572,3,1,18,2046,5618,61,252,17434,17434,0,3776,5042,4011,3934,3557,2378,119,22817,6515,15928,9181,6200,255,108,536,564,5037,1224
26,HIMACHAL PRADESH,Kullu,437903,225452,212451,307672,174550,133122,269084,148829,120255,193876,75208,168819,197141,12372,2707,56864,415669,2974,1568,1396,15377,94,83,742,40064,91322,2623,7010,188704,167995,20709,48384,77363,61854,58122,39081,23168,2377,310349,103136,244727,120510,72282,384,2450,8479,6979,80610,12616
27,HIMACHAL PRADESH,Mandi,999777,498065,501712,723747,393669,330078,572671,297464,275207,284154,288517,427106,387944,15822,7134,161771,981412,9460,876,4081,2628,43,86,1191,59324,214491,5333,16401,462825,431129,31696,100052,159043,132147,180188,128549,54139,9350,763468,218570,524285,279321,194661,1510,10927,15958,26366,205510,11024
28,HIMACHAL PRADESH,Hamirpur,454768,217070,237698,358091,180555,177536,241931,118724,123207,126153,115778,212837,147103,8824,3347,82657,449412,3711,243,591,95,293,9,414,34978,104120,2521,7525,211348,196116,15232,37327,71107,72114,91184,64363,35620,5263,376978,72551,224044,123941,106641,142,7094,6665,16955,99538,4452
29,HIMACHAL PRADESH,Una,521173,263692,257481,399715,,186434,215346,141612,73734,134482,80864,305827,84800,19604,3427,107515,480138,14275,390,26009,56,70,10,225,43809,105929,2412,8238,205217,185091,20126,51838,87913,81256,105204,60626,32120,5511,424468,87735,273223,142351,105358,241,41378,8059,36913,101443,5195
30,HIMACHAL PRADESH,Bilaspur,381956,192764,189192,287620,155599,132021,205871,111543,94328,103406,102465,176085,127169,4138,2561,72003,371973,6984,236,2387,113,10,7,246,17262,79146,1574,6281,164445,152458,11987,35817,59489,53515,64730,45695,25474,3241,287961,65864,193671,107367,80497,421,5387,6573,11397,75560,4092
31,HIMACHAL PRADESH,Solan,580320,308754,271566,428578,244372,184206,298737,190001,108736,219235,79502,281583,141267,10283,4969,142218,548579,14678,1452,13926,574,591,110,410,53722,119866,5250,14478,244296,192787,51509,50331,89407,83992,95232,59363,36803,8280,423408,104084,321533,167168,90808,811,12426,15117,25275,86649,31305
32,HIMACHAL PRADESH,Sirmaur,529855,276289,253566,362645,205617,157028,280083,169399,110684,193906,86177,249772,182958,10730,5313,81082,476830,33215,577,15501,2645,236,86,765,28904,91509,2220,8593,192156,171102,21054,57853,100123,78103,67080,38282,23352,4048,368841,140486,310244,136839,82471,301,16691,7459,17523,83947,10156
33,HIMACHAL PRADESH,Shimla,814010,425039,388971,612642,342846,269796,430926,258628,172298,311770,119156,383084,249786,26114,7967,147059,791449,11810,2025,4047,3262,185,197,1035,108888,172754,9177,24127,375165,279269,95896,69967,113536,113305,141490,95341,80414,9748,623801,137576,425721,241956,145577,756,2813,23107,8186,126522,44241
34,HIMACHAL PRADESH,Kinnaur,84121,46249,37872,60699,36697,24002,56273,33863,22410,46782,9491,27848,32995,2537,944,19797,64732,448,485,249,18086,29,45,47,10740,17865,354,2563,44514,44514,0,9400,13749,11437,11140,7871,5118,713,59428,16944,42360,26599,15075,87,190,2775,857,13926,4511
35,PUNJAB,Gurdaspur,2298323,1212617,1085706,1634719,907660,727059,757138,637652,119486,625778,131360,1541185,147912,100684,30903,477639,1074332,27667,176587,1002874,405,580,812,15066,244468,411216,14428,38445,606348,420860,185488,180897,315156,290618,372317,243539,104345,22107,1528979,478020,1261421,611353,423301,2248,280874,32484,194705,409745,14231
36,PUNJAB,Kapurthala,815168,426311,388857,576567,316254,260313,284165,235562,48603,248208,35957,531003,55252,42387,9861,176665,336124,10190,5445,453692,6662,553,334,2168,110555,161206,9732,23145,261203,165433,95770,71698,127031,112774,128828,77442,48221,9501,575495,174995,433331,222324,157833,1680,107044,23561,90508,141816,18924
37,PUNJAB,Jalandhar,2193590,1145211,1048379,1622537,,739956,774472,639484,134988,689592,84880,1419118,85695,66664,29762,592351,1394329,30233,26016,718363,11385,4011,805,8448,299449,446200,39082,79134,708130,330339,377791,183441,333736,304652,339758,216646,162965,34576,1575774,387809,1159156,616431,416449,1554,286365,72374,238203,378807,61615
38,PUNJAB,Hoshiarpur,1586625,809057,777568,1199699,637927,561772,499822,412506,87316,411011,88811,1086803,89772,74362,15990,319698,1000743,23089,14968,538208,3476,2034,531,3576,201675,319930,13747,34328,551265,422673,128592,143871,256127,238975,301435,176013,93618,17427,1227466,294723,831741,422782,330671,1431,227316,33720,166862,303081,17651
39,PUNJAB,Shahid Bhagat Singh Nagar,612310,313291,299019,438459,239155,199304,204329,170252,34077,173507,30822,407981,42608,22626,9011,130084,401368,6829,1479,192885,5885,695,266,2903,64934,125068,5264,13936,231551,183168,48383,53709,111242,94286,101970,61643,26893,5703,455446,133275,318597,163305,128310,2098,91772,14456,64143,118149,6692
40,PUNJAB,Fatehgarh Sahib,600163,320795,279368,426033,238696,187337,214783,182777,32006,192845,21938,385380,44245,21389,8048,141101,152851,16808,1698,427521,48,178,251,808,64037,113683,5138,14294,174896,117559,57337,51897,102257,83931,95073,59555,34990,4607,432310,142314,321018,166781,111028,1336,84834,18239,63700,101426,11510
41,PUNJAB,Ludhiana,3498739,1867816,1630923,2560225,1428348,1131877,1284822,1053600,231222,1138654,146168,2213917,140737,98646,71667,973772,1502403,77713,16517,1863408,2007,19620,1254,15817,488757,703624,58589,123400,1036821,395032,641789,277247,488129,443759,527568,318876,272280,44240,2372099,631980,1901528,980046,614258,2907,461137,120172,360662,570487,127020
42,PUNJAB,Moga,995746,525920,469826,627889,348549,279340,359172,292379,66793,304880,54292,636574,91622,82397,18098,167055,158414,9388,3277,818921,178,436,365,4767,89445,183396,7897,21662,288439,214295,74144,98764,158812,116716,128693,85642,37417,11956,638000,306336,535408,258826,194768,6744,140084,26253,85167,178205,9104
43,PUNJAB,Firozpur,2029074,1071637,957437,1227511,707070,520441,756695,596406,160289,618362,138333,1272379,191685,227971,14679,322360,906408,6844,19358,1090815,454,1143,278,3774,141899,349662,10042,31070,502390,348522,153868,196971,306838,226433,221806,147698,82448,25734,1207928,714869,1171770,525459,331259,586,237901,37105,148610,344538,17695
44,PUNJAB,Muktsar,901896,475622,426274,524848,300401,224447,335326,272699,62627,287205,48121,566570,86565,111014,5187,132560,254920,4333,1681,638625,240,744,433,920,76441,166585,4571,14077,224157,149507,74650,90240,137470,101852,104682,62612,36905,10666,544427,340886,495167,242628,162297,1804,109666,23185,62205,159581,9169
45,PUNJAB,Faridkot,617508,326671,290837,381285,215767,165518,221555,185049,36506,190415,31140,395953,53230,54058,8225,106042,141363,3125,1227,469789,155,1109,103,637,62103,113549,4348,12276,158863,99946,58917,53734,89433,71178,75419,48360,29838,5790,373752,204895,336540,164962,113721,2285,82761,15528,51638,109071,6142
46,PUNJAB,Bathinda,1388525,743197,645328,844868,488261,356607,549986,432988,116998,452678,97308,838539,141535,128382,14938,265131,380569,16299,2474,984286,246,1266,559,2826,118427,255650,11284,32253,355722,218159,137563,117795,182796,145626,163928,96329,70240,16666,793380,438529,754927,377707,255283,608,176384,36173,106010,235988,21224
47,PUNJAB,Mansa,769751,408732,361019,423560,244037,179523,328512,230739,97773,247175,81337,441239,105963,90367,13442,118740,156539,10375,917,598443,123,1577,493,1284,39414,140099,2673,10085,196389,145603,50786,75708,106162,84553,85953,48663,27461,5658,434158,311513,420050,200882,146103,2716,90845,12805,48117,140422,4905
48,PUNJAB,Patiala,1895686,1002522,893164,1266791,711052,555739,660267,549661,110606,570391,89876,1235419,113182,89123,23647,434315,783306,40043,5683,1059944,245,1914,1410,3141,209192,352929,24274,55105,517369,299279,218090,173890,283837,239609,256826,157435,141947,27272,1280816,518772,1042519,517079,335100,988,253101,57008,193945,325608,28546
49,PUNJAB,Amritsar,2490656,1318408,1172248,1684770,932981,751789,917856,735195,182661,787254,130602,1572800,124617,121599,41642,629998,690939,12502,54344,1716935,876,3152,1044,10864,279993,461231,29961,63864,660953,275477,385476,197944,313874,283819,328229,203656,142399,15879,1485800,540010,1384987,667193,436496,1980,286368,56185,225063,430041,41576
50,PUNJAB,Tarn Taran,1119627,589369,530258,666162,376427,289735,380702,313639,67063,316310,64392,738925,115853,81216,21328,162305,60504,3855,6095,1044903,101,650,47,3472,73958,186599,4300,13102,267174,222717,44457,106878,165659,118366,147856,83290,21322,5077,648448,381879,641875,283645,190898,3209,134781,15885,86013,193712,5099
51,PUNJAB,Rupnagar,684627,357485,327142,502731,278534,224197,233676,186910,46766,194209,39467,450951,45640,21520,12321,154195,304481,14492,2094,361045,118,653,143,1601,67749,129123,6600,17542,208699,148162,60537,53005,107715,98135,116836,68794,38823,9388,492696,124100,365300,185424,131707,2196,95548,17248,72313,114943,14317
52,PUNJAB,Sahibzada Ajit Singh Nagar,994628,529253,465375,736575,409944,326631,355995,283367,72628,316236,39759,638633,40867,21791,13501,279836,476276,29488,5342,478908,257,1257,239,2861,131701,191578,25944,50857,291335,117293,174042,82178,131983,119930,147214,96568,105306,13103,696282,172226,540872,281462,171656,638,118842,49154,112529,153420,37550
53,PUNJAB,Sangrur,1655169,878029,777140,1002077,570413,431664,568758,485129,83629,499792,68966,1086411,157191,91799,18578,301190,389410,179116,2406,1077438,268,3222,1038,2271,135280,305557,10736,30955,448944,292156,156788,163251,250833,197901,220210,130155,73636,18393,1054379,570103,904316,435148,311621,4084,240629,35264,146931,294479,15033
54,PUNJAB,Barnala,595527,317522,278005,359831,201999,,209331,178163,31168,186434,22897,386196,60340,40460,5132,103399,112859,13100,622,467751,108,246,481,360,50276,108908,3501,10566,156799,102577,54222,49367,90971,66695,81545,43467,23657,4665,360367,212388,322607,158413,114077,430,83685,12912,49472,104428,6184
55,CHANDIGARH,Chandigarh,1055450,580663,474787,805438,465346,,404136,328159,75977,385929,18207,651314,2578,1687,4799,395072,852574,51447,8720,138329,1160,1960,246,1014,168344,231204,44283,78113,298367,8911,289456,80406,118667,114209,124707,98786,174528,20188,731491,184265,602411,303748,148945,346,135055,60494,109701,112043,110377
56,UTTARAKHAND,Uttarkashi,330086,168597,161489,215126,128237,,157276,84265,73011,128367,28909,172810,117264,4387,3122,32503,324859,3554,353,167,563,74,105,411,21374,52621,602,4104,121209,112148,9061,43442,46625,47640,30901,24989,18882,981,213460,83896,202426,75997,51245,418,1353,1637,4046,55125,8431
57,UTTARAKHAND,Chamoli,391605,193991,197614,280556,155395,,180940,93832,87108,115115,65825,210665,121157,3845,5384,50554,385818,4395,428,323,190,11,23,417,27853,71524,899,5582,186340,163434,22906,47447,68435,67519,47703,32557,27168,2367,293196,61950,229715,93182,67873,835,861,2516,2311,72625,11202
58,UTTARAKHAND,Rudraprayag,242285,114589,127696,170933,91803,,113032,52339,60693,78950,34082,129253,83155,3200,2112,24565,240170,1486,171,38,9,4,44,363,19859,49182,418,3082,117159,112705,4454,30562,50288,44605,28916,21131,15096,440,191038,45428,141848,54979,44986,472,432,1111,1529,49362,3375
59,UTTARAKHAND,Tehri Garhwal,618931,297986,320945,407994,227406,180588,280442,140821,139621,165912,114530,338489,187121,8129,4021,81171,609835,7374,656,290,32,91,109,544,50929,117239,1366,7831,254236,227059,27177,72163,103462,95417,74008,58434,30704,2073,436261,133013,368324,139371,109998,1238,3876,4324,9697,114292,13655
60,UTTARAKHAND,Dehradun,1696694,892199,804495,1259506,702216,557290,582768,458834,123934,488161,94607,1113926,77176,38195,22992,444405,1424916,202057,13416,36454,11778,5117,217,2739,233705,310726,25862,71199,497638,228245,269393,142130,236027,240639,206730,187700,247622,26644,1287492,296538,968517,446046,276280,5851,129863,48070,152009,244843,59501
61,UTTARAKHAND,Garhwal,687271,326829,360442,494889,262148,232741,274152,147373,126779,164439,109713,413119,150607,13715,5635,104195,660507,22931,2161,619,58,212,51,732,70551,143963,2633,12670,316462,279682,36780,91101,107794,111671,95590,74219,52076,5638,538089,123071,380765,160183,145445,878,13681,4874,15468,135939,19047
62,UTTARAKHAND,Pithoragarh,483439,239306,244133,345550,189623,155927,216490,113539,102951,145481,71009,266949,137332,5432,6055,67671,475105,6015,1401,260,185,13,30,430,45365,95421,1344,7932,209943,183687,26256,63591,87585,90983,56591,42086,28375,2237,371448,88036,273494,116749,92517,679,1600,3008,6136,94192,14522
63,UTTARAKHAND,Bageshwar,259898,124326,135572,179483,97546,81937,123638,58708,64930,78085,45553,136260,85125,8985,2991,26537,257509,1440,397,46,102,7,16,381,13352,47083,435,3595,99911,96031,3880,38113,47788,50340,31224,20785,10900,675,199825,49539,147488,60569,51672,169,975,1149,2005,53896,3013
64,UTTARAKHAND,Almora,622506,291081,331425,436497,231604,204893,298211,142460,155751,201078,97133,324295,207617,10274,4312,76008,611250,7752,1895,256,201,31,6,1115,40199,109876,1830,9858,281138,260056,21082,90864,120029,115810,76148,53026,37742,2263,495882,109556,351595,141238,128994,679,2673,3396,6719,123666,12840
65,UTTARAKHAND,Champawat,259648,131125,128523,177726,102015,75711,99566,60427,39139,62698,36868,160082,59993,4032,1570,33971,249563,8693,870,336,24,28,6,128,18785,37725,548,3159,98041,85202,12839,36127,48093,45766,23610,18360,15110,1317,188383,62429,156916,60722,41913,97,7523,1387,5151,44945,5095
66,UTTARAKHAND,Nainital,954605,493666,460939,696500,385779,310721,376181,256935,119246,296424,79757,578424,137530,34742,9767,194142,809717,120742,5091,17419,570,356,181,529,99021,169001,7265,26270,298663,193086,105577,90915,155681,157875,115317,98851,89101,6200,713940,166573,562548,243095,147053,1909,57123,13800,49145,132592,30422
67,UTTARAKHAND,Udham Singh Nagar,1648902,858783,790119,1037839,598525,439314,591458,444578,146880,450762,140696,1057444,122686,165250,26396,277126,1104452,372267,6064,162768,505,738,159,1949,116576,254802,7883,28053,414659,269406,145253,179602,302653,232381,169274,113661,111062,11786,1120419,438598,1042614,392370,212223,1695,194624,16841,88369,255817,30144
68,UTTARAKHAND,Hardwar,1890422,1005295,885127,1178354,691411,486943,578121,497810,80311,495152,82969,1312301,93660,103115,19955,361391,1214935,648119,4878,17364,709,2501,46,1870,125717,279012,11947,35023,488011,301828,186183,245515,336790,243719,165003,114114,134182,29377,1268700,580970,1207120,435385,246229,1688,210338,21893,114469,278141,36245
69,HARYANA,Panchkula,561293,299679,261614,405318,229862,175456,211479,164865,46614,182831,28648,349814,26682,12827,9870,162100,490702,23451,2583,40951,1008,1626,90,882,69687,103455,18615,32174,164551,70895,93656,45607,73584,60177,69163,48306,83256,8466,388559,119222,309078,157076,93606,1533,42737,29497,49972,78722,24115
70,HARYANA,Ambala,1128350,598703,529647,818025,461288,356737,372139,320120,52019,319475,52664,756211,52871,57293,15753,246222,955096,22143,3705,138202,381,4845,110,3868,121622,199681,12899,32767,315256,175365,139891,89558,170110,161844,163544,97980,91472,18727,793235,222031,617859,308126,201685,680,133676,26122,92424,183898,18611
71,HARYANA,Yamunanagar,1214205,646718,567487,832457,474793,357664,389233,342343,46890,339024,50209,824972,61516,73251,12287,242179,984929,138569,3646,84455,161,1555,126,764,109080,217503,8079,25129,357723,214464,143259,107222,194654,164652,159311,99170,82532,18666,826207,319428,694813,317708,201386,298,148002,20791,87959,201041,22109
72,HARYANA,Kurukshetra,964655,510976,453679,646893,370828,276065,336780,268556,68224,285904,50876,627875,68908,85890,6726,175256,805175,15970,1943,140395,214,375,106,477,90150,171908,7356,21951,291821,203553,88268,94530,145392,118107,120790,81964,71007,10999,642789,266638,552034,250830,160216,1575,107683,20261,73765,162147,13063
73,HARYANA,Kaithal,1074304,571003,503301,646529,385782,260747,373899,292696,81203,290663,83236,700405,128016,85651,9450,150782,974520,8232,1769,87558,265,351,70,1539,62668,187349,3724,15301,306787,231091,75696,119345,158239,124682,117753,82297,51043,9111,662470,369869,630194,265813,176320,1977,95704,12792,59238,189832,7550
74,HARYANA,Karnal,1505324,797712,707612,978013,564516,413497,516062,411646,104416,411533,104529,989262,112288,133723,15311,254740,1341002,31650,2049,126207,532,1516,49,2319,143133,267223,11163,29253,428602,292682,135920,155839,231354,188040,183590,124790,101387,19186,1004186,429220,884972,380409,234684,5259,143754,26238,108101,258981,19328
75,HARYANA,Panipat,1205437,646857,558580,786599,464136,322463,412318,328667,83651,339016,73302,793119,72120,62358,15824,262016,1083936,86622,2261,25064,289,4647,99,2519,121846,209965,10024,26719,327306,173502,153804,118873,170565,143466,141473,91756,75774,10977,752884,296212,739075,298764,167244,354,90548,17466,74923,182191,32473
76,HARYANA,Sonipat,1450001,781299,668702,998316,589881,408435,523179,391085,132094,396763,126416,926822,142344,101733,18184,260918,1390149,45100,1405,4484,336,6033,29,2465,126009,253054,9029,30697,417434,283858,133576,138489,200458,182396,224639,150760,101186,19261,1017189,344813,855201,360216,233318,1266,119029,22367,84519,239850,25832
77,HARYANA,Jind,1334152,713006,621146,832758,502049,330709,523422,368277,155145,385851,137571,810730,230387,102071,9114,181850,1276669,23016,889,29103,172,2594,56,1653,78386,222462,5263,23750,368000,278335,89665,136892,185626,151682,154773,107994,64599,14277,815843,419624,784085,335704,213478,885,113068,15836,61694,227870,12316
78,HARYANA,Fatehabad,942011,495360,446651,557578,327471,230107,369083,263498,105585,286258,82825,572928,132250,97997,6558,132278,779243,8360,996,150969,171,1172,530,570,51693,153301,3210,13142,258380,203020,55360,103541,136663,99948,93526,61476,37741,9504,542399,344534,555745,237009,147469,1788,86268,14030,52633,162708,8832
79,HARYANA,Sirsa,1295189,682582,612607,782897,456968,325929,502003,369462,132541,399169,102834,793186,164297,147042,11952,178712,940255,9524,2186,338962,370,2256,624,1012,70538,215527,6287,22706,338792,245476,93316,141766,201349,153263,134559,83373,61620,16698,792628,412353,750228,334344,208185,2432,117760,24468,75692,219428,12951
80,HARYANA,Hisar,1743931,931562,812369,1114311,670200,444111,691621,488321,203300,531227,160394,1052310,261120,144213,16097,270191,1701061,21650,1945,12270,334,3620,33,3018,110495,285004,10132,33400,456126,302013,154113,197303,230074,194595,202792,144626,105346,19031,1093767,505251,1017830,456536,265109,4456,147721,24642,90721,295628,23078
81,HARYANA,Bhiwani,1634445,866672,767773,1069871,643158,426713,623006,430678,192328,445675,177331,1011439,288543,103788,14855,215820,1611031,15515,873,2401,254,1016,26,3329,88938,266244,5292,25236,456282,357047,99235,186145,223049,198307,218631,148995,104875,13786,1093788,459364,964960,405760,261428,2297,99232,16793,66069,293443,11408
82,HARYANA,Rohtak,1061204,568479,492725,747582,436025,311557,345967,272646,73321,288949,57018,715237,95732,36568,8521,205146,1043887,8185,732,3916,200,3491,24,769,94633,193120,8482,27225,306942,175203,131739,117097,150903,140782,168499,109596,100346,21134,808357,248795,605741,269354,185685,424,91682,16545,63575,185204,15541
83,HARYANA,Jhajjar,958405,514667,443738,676091,399480,276611,326534,250020,76514,246457,80077,631871,112389,44845,9254,160046,945693,8247,734,1042,105,645,22,1917,70149,168558,5034,19241,290144,211816,78328,90737,109829,115794,145258,97457,58826,9387,627288,201028,549975,245095,162356,979,69952,14298,52868,168223,12154
84,HARYANA,Mahendragarh,922088,486665,435423,630255,380440,249815,338584,232935,105649,212402,126182,583504,149146,38320,7639,143479,913251,5660,301,1737,75,644,15,405,45359,135455,2624,13908,267942,223726,44216,94273,135849,126291,132765,94245,60296,10353,654072,245602,530000,229392,161258,1438,54810,8538,45775,162961,3691
85,HARYANA,Rewari,900332,474335,425997,636947,375453,261494,337727,235326,102401,250219,87508,562605,102698,28215,9782,197032,889133,5713,701,1804,202,1525,12,1242,62667,152651,5121,18092,268754,199449,69305,81280,120860,122617,139646,95807,65143,9820,635173,206827,518747,230704,150557,324,71366,12161,58897,156650,9969
86,HARYANA,Gurgaon,1514432,816690,697742,1111116,638666,472450,544716,432456,112260,487441,57275,969716,56046,27097,18228,443345,1408801,70842,9725,15097,944,7451,254,1318,238359,305751,67087,102343,523691,141703,381988,126920,177453,175370,219200,150120,233402,41366,1123831,263720,875531,428101,210307,493,103261,92934,131478,211728,98060
87,HARYANA,Mewat,1089263,571162,518101,454897,308435,146462,289964,224642,65322,204178,85786,799299,104237,55278,6023,124426,221846,862647,1235,592,516,1453,4,970,15593,96309,935,10499,223635,187398,36237,125261,135842,67299,41836,22265,12453,5527,410483,619284,790930,186916,110688,729,37702,6220,33748,151691,3587
88,HARYANA,Faridabad,1809733,966110,843623,1272739,734940,537799,579229,476933,102296,495316,83913,1230504,27705,29288,32286,489950,1588407,161680,9743,34572,640,4883,249,9559,258422,333171,43437,82673,470681,87700,382981,137902,220384,198551,282666,178846,259933,27864,1306146,346567,1095602,481318,231029,1784,170927,63470,152884,276186,69917
89,HARYANA,Palwal,1042708,554497,488211,599796,379696,220100,309563,241464,68099,216932,92631,733145,91506,60685,8566,148806,826342,208566,932,3971,345,915,20,1617,46498,132606,4283,16736,249159,186069,63090,125474,142156,113940,102626,65963,43780,8373,602312,393825,684189,224043,133913,563,67580,10185,55825,160239,5953
90,NCT OF DELHI,North West,3656539,1960922,1695617,2707855,1541952,1165903,1188545,1022419,166126,1135126,53419,2467994,11433,13289,35896,1127927,3211042,291330,14100,92129,2281,43460,345,1852,625662,720900,114044,188876,1026867,67592,959275,228507,571255,607092,613393,519808,465677,22436,3028168,416720,2138591,1013424,503055,1469,235402,152362,263624,529391,176115
91,NCT OF DELHI,North,887978,475002,412976,681517,381615,299902,296446,257575,38871,283583,12863,591532,2187,1791,11028,281440,726443,119792,7256,19066,1824,13049,81,467,161067,174310,21418,40543,301071,4512,296559,58952,133915,142788,126121,97744,107099,11098,677717,125277,506601,256501,124513,363,45555,25574,63424,121769,46519
92,NCT OF DELHI,North East,2241624,1188425,1053199,1611588,912481,699107,661386,594353,67033,622443,38943,1580238,2235,2406,30738,626007,1529337,657585,9123,17424,2388,24673,48,1046,356769,391951,30390,69417,487581,5326,482255,206524,500493,488767,341540,212438,122983,9199,1881944,257966,1393078,581016,264663,2867,143358,37482,152678,297491,92097
93,NCT OF DELHI,East,1709346,907500,801846,1352998,748382,604616,579692,486951,92741,555026,24666,1129654,1156,3094,19541,555901,1410852,178807,15792,53027,2643,46927,366,932,327253,352758,80037,127465,462218,1086,461132,86484,219061,260094,267825,235187,246988,18644,1334283,169693,948963,497157,262124,1102,103064,87499,162670,241976,101386
94,NCT OF DELHI,New Delhi,142004,77942,64062,114179,65678,48501,59541,46940,12601,56471,3070,82463,121,275,1030,58115,124482,8480,4852,2933,312,679,66,200,26681,30023,7366,11948,52664,0,52664,4641,11728,15326,15942,17742,23934,2186,91499,10098,76076,43913,21773,242,11029,7248,10268,3939,17203
95,NCT OF DELHI,Central,582320,307821,274499,442360,240518,201842,207374,177621,29753,195978,11396,374946,597,601,10902,195274,364148,194278,3527,13038,362,5886,107,974,101826,113399,19724,30627,194897,0,194897,34122,80924,96755,83244,62124,80251,6097,443517,87286,317650,169533,94448,689,17214,21001,39119,80973,28341
96,NCT OF DELHI,West,2543243,1356240,1187003,1961179,1093933,867246,874320,732598,141722,839621,34699,1668923,2952,4358,29022,837988,2087294,149807,18337,271752,1993,11322,273,2465,475985,520282,109666,171002,701512,1809,699703,157606,318376,365913,369114,327114,440295,54376,2032794,308139,1399165,732515,408953,2610,150955,134587,218843,382998,122526
97,NCT OF DELHI,South West,2292958,1246046,1046912,1787689,1025261,762428,795352,667977,127375,749995,45357,1497606,9733,7753,18614,759252,2102743,112691,31226,31692,2784,9215,266,2341,423855,457784,94853,156635,647682,41179,606503,152945,255177,313817,335645,308513,400800,47723,1814620,278832,1296955,683209,308675,4119,164362,105425,183150,269056,175905
