DistrictCode,StateName,DistrictName,Population,Male,Female,Literate,LiterateMale,LiterateFemale,Worker,WorkerMale,WorkerFemale,MainWorker,MarginWorker,NonWorker,CultivatorWorker,AgriculturalWorker,HouseholdWorker,OtherWorkers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,OthersReligion,ReligionNotStated,LPGoPNGHousehold,HousholdsWithElectricLighting,HouseholdsWithInternet,HouseholdsWithComputer,Household,RuralHousehold,UrbanHousehold,BelowPrimaryEducation,PrimaryEducation,MiddleEducation,SecondaryEducation,HigherEducation,GraduateEducation,OtherEducation,Literate,Illiterate,AgeGroup0_29,AgeGroup30_49,AgeGroup_50,AgeNotStated,HouseholdWithBicycle,HouseholdWith4Wheeler,HouseholdWith2Wheeler,OwnedHousehold,RentedHousehold
613,TAMIL NADU,Karur,1064493,528184,536309,727044,401726,325318,543298,329034,214264,508507,34791,521195,85872,200837,11340,245249,993666,53292,16483,115,29,7,79,822,135831,264949,4915,17995,364661,212241,152420,76629,190229,167466,146666,77874,85595,14951,759410,276930,501585,320645,241843,420,153941,10648,117119,221047,61893
614,TAMIL NADU,Tiruchirappalli,2722290,1352284,1370006,2038981,1087765,951216,1213979,789206,424773,1082329,131650,1508311,170669,378782,30386,634142,2279413,190964,246156,324,250,628,253,4302,333478,651621,30046,79588,875727,452707,423020,229415,444023,447474,418930,223178,291506,70392,2124918,401149,1346661,797258,575960,2411,362952,28571,234290,500203,188095
615,TAMIL NADU,Perambalur,565223,282157,283066,375823,208011,167812,299726,162639,137087,255097,44629,265497,117304,118278,5343,58801,521658,32702,10301,83,39,38,26,376,49390,135751,1507,7745,188592,155413,33179,85210,106751,85101,71650,41447,44025,9189,443373,109011,291371,158218,115151,483,59863,2259,32178,132395,14725
616,TAMIL NADU,Ariyalur,754894,374703,380191,480604,269582,211022,359851,212547,147304,272241,87610,395043,107312,166837,13564,72138,708397,7942,37403,104,88,65,42,853,39642,177502,1749,8371,254277,223955,30322,60697,134123,113437,96860,53934,57524,16126,532701,233438,380484,216103,157771,536,104900,2937,40913,181005,14004
617,TAMIL NADU,Cuddalore,2605914,1311697,1294217,1815281,1000322,814959,1169880,749633,420247,837271,332609,1436034,165170,539412,32027,433271,2391675,123749,83334,401,236,1280,138,5101,244610,598412,15396,50938,758209,497429,260780,169844,412237,418769,386652,186394,227530,67411,1868837,634041,1364411,764669,473617,3217,343988,19828,178515,526657,98143
618,TAMIL NADU,Nagapattinam,1616450,798127,818323,1213008,640916,572092,671994,461174,210820,486328,185666,944456,67482,345057,11555,247900,1435072,128617,47579,184,450,963,110,3475,143846,381940,5585,19692,517740,399016,118724,136593,323359,313357,249630,122350,125639,35762,1306690,253572,828444,463326,323706,974,219886,9042,86939,365468,40644
619,TAMIL NADU,Thiruvarur,1264277,626693,637584,946471,503085,443386,540168,369853,170315,412425,127743,724109,69883,295188,10440,164657,1132785,96092,33192,258,151,279,64,1456,109580,303114,4416,15535,408179,321331,86848,138960,250163,243773,203450,103908,99082,28166,1067502,175564,627880,377118,257116,2163,189906,6790,72916,287483,34994
620,TAMIL NADU,Thanjavur,2405890,1182416,1223474,1790998,944264,846734,974079,680483,293596,834484,139595,1431811,129913,415361,31200,397605,2075870,190814,133971,231,795,1256,148,2805,223044,555582,13495,42912,753372,479070,274302,138375,431983,419605,373111,178126,222410,49261,1812871,461123,1193095,712017,499235,1543,343328,17231,161750,475525,108700
621,TAMIL NADU,Pudukkottai,1618345,803188,815157,1110545,608776,501769,761693,471099,290594,640248,121445,856652,209270,305149,13941,233333,1428784,114194,72850,119,81,32,293,1992,82967,354493,4494,18272,503941,399712,104229,97231,283299,270046,251855,121706,111731,31315,1167183,447346,835853,470428,311175,889,209024,7882,110324,344074,42109
622,TAMIL NADU,Sivaganga,1339101,668672,670429,959744,526304,433440,620171,391305,228866,461102,159069,718930,141003,199563,14656,264949,1186078,74310,75481,150,80,109,24,2869,113822,314270,5773,24456,452417,309224,143193,101778,216931,236700,199263,103903,115894,23941,998410,311112,666218,391356,280462,1065,172619,8222,91250,277432,59229
623,TAMIL NADU,Madurai,3038252,1526475,1511777,2273430,1223810,1049620,1354632,902704,451928,1173902,180730,1683620,92719,372828,47293,841792,2760502,168881,97711,520,199,1532,305,8602,391821,754141,34097,95311,1010441,417718,592723,234611,525151,532616,453509,250285,363152,39350,2398674,449125,1528178,913715,593827,2532,325803,30852,228557,491822,279755
624,TAMIL NADU,Theni,1245899,625683,620216,870080,479403,390677,591642,368900,222742,530591,61051,654257,38367,315161,14939,223175,1148990,56751,37574,152,79,28,74,2251,147529,312310,4667,18830,410623,189328,221295,90590,219747,213496,156676,95231,101147,14674,891561,270738,618923,373564,252267,1145,99044,6607,58034,243448,78115
625,TAMIL NADU,Virudhunagar,1942288,967709,974579,1398788,760375,638413,950158,579111,371047,854066,96092,992130,57153,208702,35298,649005,1822626,47838,67405,245,87,98,75,3914,235005,505950,10219,37357,734724,363782,370942,163264,398670,317054,230321,138306,167506,35156,1450277,403246,987538,575006,378174,1570,282826,9845,119486,379629,149739
626,TAMIL NADU,Ramanathapuram,1353445,682658,670787,978946,536487,442459,602977,392751,210226,486150,116827,750468,173767,153874,25228,250108,1047411,208038,91139,154,86,29,36,6552,100484,291400,5172,22379,417239,290478,126761,246909,293886,236511,189132,105978,97405,16785,1186606,107292,708322,389764,252888,2471,125445,5524,49605,270430,51959
627,TAMIL NADU,Thoothukkudi,1750176,865021,885155,1349697,703106,646591,748095,503727,244368,657447,90648,1002081,48515,200644,22863,476073,1373920,80740,291908,127,286,53,112,3030,200616,437916,11455,35791,636739,336078,300661,153922,372036,315817,227154,133010,155613,31525,1389077,265032,887717,499377,361374,1708,238770,14650,124851,334992,120883
628,TAMIL NADU,Tirunelveli,3077233,1520912,1556321,2273457,1210710,1062747,1436454,876175,560279,1271407,165047,1640779,115715,379763,239664,701312,2425630,303368,342254,268,373,144,450,4746,361760,779130,19070,63590,1064667,547962,516705,263517,618656,517646,390495,220088,247635,71437,2329474,621010,1554277,876129,644563,2264,379446,24290,195295,641511,163635
